mineral,formula,system
INTERSILITE,(Na|K)Na5Mn++(Ti|Nb)[Si10O24(OH)4].4H2O,M
INYOITE,Ca2B6O6(OH)10.8H2O,M
IODARGYRITE,AgI,H
IOWAITE,Mg6Fe+++2(OH)16Cl2.4H2O,H
IQUIQUEITE,K3Na4Mg(Cr++++++O4)B24O39(OH).12H2O,H
IRANITE,Pb10Cu(CrO4)6(SiO4)2(F|OH)2,A
IRAQITE-(La),K(La|Ce|Th)2(Ca|Na)4(Si|Al)16O40,Q
IRARSITE,(Ir|Ru|Rh|Pt)AsS,C
IRHTEMITE,Ca4MgH2(AsO4)4.4H2O,M
IRHTEMITE,Ca4MgH2(AsO4)4.4H2O,M
IRIDARSENITE,(Ir|Ru)As2,M
IRIDISITE,(?),(Ir|Cu|Rh|Ni|Pt)S2 ps C
IRIDIUM,(Ir|Os|Ru),C
IRIGINITE,UO2Mo2O7.3H2O,O
IRINARASSITE,{Ca3}[Sn++++2](SiAl2)O12,C
IRON,Fe,C
IRTYSHITE,Na2(Ta|Nb)4O11,H
ISHIKAWAITE,(U|Y|Fe+++|Fe++)(Nb|Ti)O4,O
ISOCHALCOPYRITE,(?),Cu16Fe17S32,or,(Fe|Cu)S,or,Cu8Fe9S16,C
ISOCLASITE,Ca2(PO4)(OH).2H2O,(?),M
ISOCUBANITE,CuFe2S3,C
ISOFERROPLATINUM,(Pt|Pd)3(Fe|Cu),C
ISOKITE,CaMg(PO4)F,M
ISOLUESHITE,(Na|La|Ca)(Nb|Ti)O3,C
ISOMERTIEITE,Pd11Sb2As2,C
ISOVITE,(Cr|Fe)23C6,C
ITOIGAWAITE,SrAl2Si2O7(OH)2.H2O,O
ITOITE,Pb3Ge(SO4)2O2(OH)2,O
IVANYUKITE-Cu,Cu[Ti4(OH)2O2(SiO4)3].7H2O,C
IVANYUKITE-K,K2[Ti4(OH)2O2(SiO4)3].9H2O,C
IVANYUKITE-Na-C,Na2[Ti4O2(OH)2(SiO4)3].6H2O,C
IVANYUKITE-Na-T,Na3[Ti4(OH)O3(SiO4)3].7H2O,R
IWAKIITE,Mn++(Fe+++|Mn+++)2O4,Q
IWASHIROITE-(Y),Y(Ta|Nb)O4,M
IXIOLITE,(Ta|Nb|Sn|Fe|Mn)4O8,M
IZOKLAKEITE,Pb27(Cu|Fe)2(Sb|Bi)19S57,O
JACHYMOVITE,(UO2)8(SO4)(OH)14.13H2O,M,(?)
JACOBSITE,(Mn++|Fe++|Mg)(Fe+++|Mn+++)2O4,C
JACQUESDIETRICHITE,Cu2(OH)3BO(OH2),O
JACUTINGAITE,(Pt|Pd)2HgSe3,R
JADARITE,NaLiB3SiO7(OH),M
JADEITE,Na(Al|Fe+++)Si2O6,M
JAFFEITE,Ca4(Si3O7)(OH)6,H
JAGOITE,Pb3Fe+++Si4O12(Cl|OH),H
JAGOWERITE,BaAl2(PO4)2(OH)2,A
JAGUEITE,Cu2Pd3Se4,M
JAHNSITE-(CaFeFe),(?),CaFe++2(Fe++)2(Fe+++)2(PO4)4(OH)2.8H2O,(?),M
JAHNSITE-(CaFeMg),CaFe++Mg2Fe+++2(PO4)4(OH)2.8H2O,M
JAHNSITE-(CaMnFe),CaMn++Fe++2Fe+++2(PO4)4(OH)2.8H2O,M
JAHNSITE-(CaMnMg),CaMn++(Mg|Fe++)2Fe+++2(PO4)4(OH)2.8H2O,M
JAHNSITE-(CaMnMn),CaMn++Mn++2Fe+++2(PO4)4(OH)2.8H2O,M
JAHNSITE-(MnMnMn),(Mn++|Ca)Mn++(Mn++|Fe++)2Fe+++2(PO4)4(OH)2.8H2O,M
JAHNSITE-(NaFeMg),NaMg2Fe+++3(PO4)4(OH)2.8H2O,M
JAIPURITE,(?),CoS,H
JAKOBSSONITE,CaAlF5,M
JALPAITE,Ag3CuS2,Q
JAMBORITE,Ni++1-xCo+++x(OH)2-x(SO4)x.nH2O,H
JAMESITE,Pb2ZnFe+++2(Fe+++2|8Zn1|2)(AsO4)4(OH)8[(OH)1|2O0|8],A
JAMESONITE,Pb4FeSb6S14,M
JANGGUNITE,Mn++++5-x(Mn++|Fe+++)1+xO8(OH)6,(x=0|2),O
JANHAUGITE,Na6Mn++6Ti4(Si2O7)4[O2(OH|F|O)6],M
JANKOVICITE,Tl5Sb9(As|Sb)4S22,A
JARANDOLITE,CaB3O4(OH)3,M
JARLITE,Na(Sr|Na)7MgAl6F32(OH|H2O)2,M
JAROSEWICHITE,Mn++3Mn+++(AsO4)(OH)6,O
JAROSITE,K2Fe+++6(SO4)4(OH)12,R
JASKOLSKIITE,Pb2+xCux(Sb|Bi)2-xS5,(x=0|2),O
JASMUNDITE,Ca11(SiO4)4O2S,Q
JEANBANDYITE,(Fe+++|[])(Sn++++|[])(OH)6,Q ps C
JEDWABITE,Fe7(Ta|Nb)3,H
JEFFREYITE,(Ca|Na)2(Be|Al)Si2(O|OH)7,O ps Q
JENNITE,Ca9[Si6O18(OH)6].8H2O,A
JENSENITE,Cu++3Te++++++O6.2H2O,M
JENTSCHITE,TlPbAs2SbS6,M
JEPPEITE,(K|Ba)2(Ti|Fe+++)6O13,M
JEREMEJEVITE,Al6B5O15(F|OH)3,H
JERRYGIBBSITE,Mn++9(SiO4)4(OH)2,O
JERVISITE,(Na|Ca|Fe++)(Sc|Mg|Fe++)Si2O6,M
JIANSHUIITE,(Mg|Mn++)Mn++++3O7.3H2O,A
JIMBOITE,Mn3B2O6,O
JIMTHOMPSONITE,(Mg|Fe++)5Si6O16(OH)2,O
JINSHAJIANGITE,(Na|Ca)(Ba|K)(Fe++|Mn++)4(Ti|Fe+++)2(Si2O7)2O2(F|O|OH)2-3,M
JIXIANITE,=,PLUMBOELSMOREITE,Pb(W|Fe+++)2(O|OH)7,(?),C
JOAQUINITE-(Ce),Ba2NaCe2Fe++(Ti|Nb)2Si8O26(OH|F).H2O,M
JOELBRUGGERITE,Pb3Zn3(Sb+++++|Te++++++)As2O13(OH|O),H
JOESMITHITE,PbCa2(Mg|Fe++|Fe+++)5Si6Be2O22(OH)2,M
JOHACHIDOLITE,CaAlB3O7,O
JOHANNITE,Cu(UO2)2(SO4)2(OH)2.8H2O,A
JOHANNSENITE,CaMnSi2O6,M
JOHILLERITE,Na(Mg|Zn)3Cu(AsO4)3,M
JOHNBAUMITE,Ca5(AsO4)3(OH),H
JOHNINNESITE,Na2Mn++9(Mg|Mn++)7(OH)8(AsO4)2(Si6O17)2,A
JOHNSENITE-(Ce),Na12(Ce|La|Sr|Ca|M)3Ca6Mn3Zr3W(Si25O73)(CO3)(OH|Cl)2,R
JOHNSOMERVILLEITE,Na8Ca7(Fe++|Mg|Mn++)43(PO4)36,R
JOHNTOMAITE,Ba(Fe++|Ca|Mn++)2Fe3+++2(PO4)3(OH)3,M
JOHNWALKITE,K(Mn++|Fe+++|Fe++)2(Nb|Ta)(PO4)2O2(H2O|OH)2,O
JOKOKUITE,Mn++SO4.5H2O,A
JOLIOTITE,(UO2)(CO3).2H2O,O
JOLLIFFEITE,(Ni|Co)AsSe,C
JONASSONITE,Au(Bi|Pb)5S4,M
JONESITE,Ba4(K|Na)2Ti4Al2Si10O36.6H2O,O
JOOSTEITE,Mn++(Mn+++|Fe+++)(PO4)O,M
JORDANITE,Pb14(As|Sb)6S23,M
JORDISITE,MoS2,am.
JORGENSENITE,Na2(Sr|Ba)14Na2Al12F64(OH|F)4,M
JOSEITE-A,Bi4TeS2,R
JOSEITE-B,Bi4Te2S,R
JOTEITE,Ca2CuAl[AsO4][AsO3(OH)]2(OH)2.5H2O,A
JOURAVSKITE,Ca6Mn++++2(SO4|CO3)4(OH)12.26H2O,H
JUABITE,CaCu10(Te++++O3)4(As+++++O4)4(OH)2.4H2O,A
JUANGODOYITE,Na2Cu++(CO3)2,M
JUANITAITE,(Cu|Ca|Fe++)10Bi(AsO4)4(OH)11.H2O,Q
JUANITE,Ca10Mg4Al2Si11O39.4H2O,(?),O,(?)
JULGOLDITE-(Fe++),Ca2Fe++(Fe+++|Al)2(SiO4)(Si2O7)(OH)2.H2O,M
JULGOLDITE-(Fe+++),Ca2Fe+++(Fe+++|Al)2(SiO4)(Si2O7)(OH)2.H2O,M
JULGOLDITE-(Mg),Ca2(Mg|Fe++)(Fe+++|Al)2(SiO4)(Si2O7)(OH)2.H2O,M
JULIENITE,Na2Co++(SCN)4.8H2O,Q
JUNGITE,Ca2Zn4Fe+++8(PO4)9(OH)9.16H2O,O
JUNITOITE,CaZn2Si2O7.H2O,O
JUNOITE,Pb3Cu2Bi8(S|Se)16,M
JUONNIITE,CaMgSc(PO4)2(OH).4H2O,O
JURBANITE,Al(SO4)(OH).5H2O,M
KAATIALAITE,Fe+++As+++++3O9.6-8H2O,M
KADYRELITE,Hg4(Br|Cl)2O,C
KAERSUTITE,NaCa2(Mg4Ti)Si6Al2O23(OH),M
KAFEHYDROCYANITE,(?),K4Fe++(CN)6.3H2O,Q,(?)
KAHLERITE,Fe++(UO2)2(AsO4)2.10-12H2O,Q
KAINITE,MgSO4.KCl.3H2O,M
KAINOSITE-(Y),Ca2(Y|Ce)2Si4O12(CO3).H2O,O
KALBORSITE,K6[Al4Si6O20]B(OH)4Cl,Q
KALIBORITE,KHMg2B12O16(OH)10.4H2O,M
KALICINITE,KHCO3,M
KALIFERSITE,(K|Na)5Fe+++7(Si20O50)(OH)6.12H2O,A ps O
KALININITE,ZnCr2S4,C
KALINITE,KAl(SO4)2.11H2O,M,(?)
KALIOCHALCITE,KCu2(SO4)2[(OH)(H2O)],M
KALIOPHILITE,KAlSiO4,H
KALIPYROCHLORE,=,HYDROPYROCHLORE,(K|Sr)2-xNb2O6(O|OH).nH2O,C
KALISTRONTITE,K2Sr(SO4)2,R
KALSILITE,KAlSiO4,H
KALUGINITE,(Mn++|Ca)MgFe+++(PO4)2(OH).4H2O,O
KALUNGAITE,PdAsSe,C
KAMAISHILITE,Ca2Al2SiO6(OH)2,Q
KAMARIZAITE,Fe+++3(AsO4)2(OH)3.3H2O,O
KAMBALDAITE,NaNi4(CO3)3(OH)3.3H2O,H
KAMCHATKITE,KCu++3OCl(SO4)2,O
KAMIOKITE,Fe2Mo3O8,H
KAMITUGAITE,PbAl(UO2)5[(P|As)O4]2(OH)9.9.5H2O,A
KAMOTOITE-(Y),(Y|Nd|Gd)2U++++++4(CO3)3O12.14|5H2O,M
KAMPFITE,Ba6[(Si|Al)O2]8(CO3)2Cl2.(Cl|H2O)2,H
KAMPHAUGITE-(Y),Ca(Y|REE)(CO3)2(OH).H2O,Q
KANEMITE,NaSi2O5.3H2O,O
KANGITE,(Sc|Ti|Al|Zr|Mg|Ca|[])2O3,C
KANKITE,Fe+++AsO4.3|5H2O,M
KANOITE,(Mn++|Mg)2Si2O6,M
KANONAITE,(Mn+++|Al)AlSiO5,O
KANONEROVITE,Mn++Na3P3O10.12H2O,M
KAOLINITE,Al2Si2O5(OH)4,A
KAPELLASITE,Cu3Zn(OH)6Cl2,R
KAPITSAITE-(Y),(Ba|K|Pb++)4(Y|Ca|Na)2Si8(B|Si)4O28F,A ps Q
KAPUNDAITE,(Na|Ca)2Fe+++4(PO4)4(OH)3.5H2O,A
KAPUSTINITE,Na5(Na|Mn++)Zr(Si6O16)(OH)2,M
KARASUGITE,SrCaAl(F|OH)7,M
KARCHEVSKYITE,[Mg18Al9(OH)54][Sr2(CO3|PO4)9(H2O|H3O)11],R
KARELIANITE,V2O3,R
KARENWEBBERITE,Na(Fe++|Mn++)PO4,O
KARIBIBITE,Fe+++2As+++4(O|OH)9,O
KARLITE,(Mg|Al)6(BO3)3(OH|Cl)4,O
KARNASURTITE-(Ce),(Ce|La|Th)(Ti|Nb)(Al|Fe+++)(Si|P)2O7(OH)4.3H2O,(?),H,(?)
KARPATITE,C24H12,M
KARPINSKITE,(Mg|Ni)2Si2O5(OH)2,(?),M,(?)
KARUPMOLLERITE-Ca,(Na|Ca|K)2Ca2(Nb|Ti)4(Si4O12)2(O|OH)4.7H2O,M
KASATKINITE,Ba2Ca8B5Si8O32(OH)3.6H2O,M
KASHINITE,(Ir|Rh)2S3,O
KASOLITE,Pb(UO2)SiO4.H2O,M
KASSITE,CaTi2O4(OH)2,O
KASTNINGITE,(Mn++|Fe++|Mg)Al2(PO4)2(OH)2.8H2O,A
KATOITE,{Ca3}[Al2]([]3)(OH)12,C
KATOPHORITE,Na(CaNa)Fe++4(Al|Fe+++)Si7AlO22(OH)2,M
KATOPTRITE,(Mn|Mg)13(Al|Fe+++)4Sb+++++2Si2O28,M
KAWAZULITE,Bi2(Te|Se|S)3,R
KAZAKHSTANITE,Fe+++5V++++3V+++++12O39(OH)9.9H2O,M
KAZAKOVITE,Na6(Mn++|H2)TiSi6O18,R
KAZANSKYITE,Ba[]TiNbNa3Ti(Si2O7)2O2(OH)2(H2O)4,A
KECKITE,CaMn(Fe+++|Mn)2Fe+++2(PO4)4(OH)3.7H2O,M
KEGELITE,Pb8Al4Si8(SO4)2(CO3)4(OH)8O20,M ps H
KEILITE,(Fe|Mg)S,C
KEITHCONNITE,Pd20Te7,R
KEIVIITE-(Y),(Y|Yb)2Si2O7,M
KEIVIITE-(Yb),(Yb|Y)2Si2O7,M
KELDYSHITE,Na2-xHxZrSi2O7.nH2O,A
KELLYITE,(Mn++|Mg|Al)3(Si|Al)2O5(OH)4,H
KELYANITE,[Hg2]6(SbO)6BrCl2,R
KEMMLITZITE,(Sr|Ce)Al3(AsO4)(SO4)(OH)6,R
KEMPITE,Mn2Cl(OH)3,O
KENHSUITE,gamma-Hg3S2Cl2,O
KENOPLUMBOMICROLITE,(Pb|[])2Ta2O6([]|O|OH),C
KENOPLUMBOPYROCHLORE,(Pb|[])2Nb2O6([]|O),C
KENOTOBERMORITE,[Ca4Si6O15(OH)2.2H2O].3H2O
KENTBROOKSITE,(Na|REE)15(Ca|REE)6(Mn++|Fe++)3Zr3Nb(Si25O73)(O|OH|H2O)3(F|Cl)2,R
KENTROLITE,Pb2Mn+++2Si2O9,O
KENYAITE,Na2Si22O41(OH)8.6H2O,M
KERIMASITE,{Ca3}[Zr2](SiFe+++2)O12,C
KERMESITE,Sb2S2O,A ps M
KERNITE,Na2B4O6(OH)2.3H2O,M
KESTERITE,Cu2(Zn|Fe)SnS4,Q
KETTNERITE,CaBi(CO3)OF,Q
KEYITE,Cu++3(Zn|Cu++)4Cd2(AsO4)6(H2O)2,M
KEYSTONEITE,Mg0|5[Ni++Fe+++(TeO3)3].4|5H2O,H
KHADEMITE,Al(SO4)F.5H2O,O
KHAIDARKANITE,Cu4Al3(OH)14F3.2H2O,M
KHAMRABAEVITE,(Ti|V|Fe)C,C
KHANNESHITE,(NaCa)3(Ba|Sr|Ce|Ca)3(CO3)5,H
KHARAELAKHITE,(Pt|Cu|Pb|Fe|Ni)9S8,O
KHATYRKITE,(Cu|Zn)Al2,Q
KHIBINSKITE,K2ZrSi2O7,M ps R
KHINITE-3T,Pb++Cu++3Te++++++O6(OH)2,R
KHINITE-4O,Pb++Cu++3Te++++++O6(OH)6,O
KHMARALITE,Mg5|5Al14Fe2Si5Be1|5O40,M
KHOMYAKOVITE,Na12Sr3Ca6Fe++3Zr3W(Si25O73)(O|OH|H2O)3(OH|Cl)2,R
KHRISTOVITE-(Ce),(Ca|REE)REE(Mg|Fe++)AlMn++Si3O11(OH)(F|O),M
KIDDCREEKITE,Cu6SnWS8,C
KIDWELLITE,NaFe+++9(PO4)6(OH)10.5H2O,M
KIEFTITE,CoSb3,C
KIESERITE,MgSO4.H2O,M
KILCHOANITE,Ca6(SiO4)(Si3O10),O
KILLALAITE,Ca6|4[H0|6Si2O7]2(OH)2,M
KIMROBINSONITE,(Ta|Nb)(OH)5-2x(O|CO3)x,C
KIMURAITE-(Y),CaY2(CO3)4.6H2O,O
KIMZEYITE,{Ca3}[Zr2](SiAl2)O12,C
KINGITE,Al3(PO4)2(OH|F)3.9H2O,A
KINGSMOUNTITE,(Ca|Mn++)4(Fe++|Mn++)Al4(PO4)6(OH)4.12H2O,M
KINGSTONITE,(Rh|Ir|Pt)3S4,M
KINICHILITE,Mg0|5[Mn++Fe+++(TeO3)3].4|5H2O,H
KINOITE,Ca2Cu2Si3O8(OH)4,M
KINOSHITALITE,BaMg3(Al2Si2)O10(OH|F)2,M
KINTOREITE,PbFe+++3(PO4)2(OH|H2O)6,R
KIPUSHITE,(Cu|Zn)5Zn(PO4)2(OH)6.H2O,M
KIRCHERITE,[Na90Ca36K18]sigma=144(Si108Al108O432)(SO4)36.6H2O,R ps H
KIRCHHOFFITE,CsBSi2O6,Q
KIRKIITE,Pb10Bi3As3S19,O/M
KIRSCHSTEINITE,CaFe++SiO4,O
KITKAITE,NiTeSe,R
KITTATINNYITE,Ca4Mn++2Mn+++4Si4O16(OH)8.18H2O,H
KIVUITE,(Th|Ca|Pb)H2(UO2)4(PO4)2(OH)8.7H2O,(?),O,(?)
KLADNOITE,C6H4(CO)2NH,M
KLAJITE,MnCu4(AsO4)2(AsO3OH)2.9-10H2O,A
KLEBELSBERGITE,Sb+++4O4(OH)2(SO4),O
KLEEMANITE,ZnAl2(PO4)2(OH)2.3H2O,M
KLEINITE,Hg2N(Cl|SO4).nH2O,H
KLOCHITE,([]1Na1)KFe2Zn3(Si12O30),H
KLOCKMANNITE,CuSe,H
KLYUCHEVSKITE,K3Cu3(Fe+++|Al)O2(SO4)4,M
KNASIBFITE,K3Na4BF4(SiF6)3,O
KNORRINGITE,{Mg3}[Cr+++2](Si3)O12,C
KOASHVITE,Na6(Ca|Mn)(Ti|Fe)Si6O18.H2O,O
KOBEITE-(Y),(Y|U)(Ti|Nb)2(O|OH)6,(?),am.
KOBELLITE,Pb22Cu4(Bi|Sb)30S69,O
KOBOKOBOITE,Al6(PO4)4(OH)6.11H2O,A
KOBYASHEVITE,Cu5(SO4)2(OH)6.4H2O,A
KOCHITE,Na2(Na|Ca)4Ca4(Mn|Ca)2Zr2(Si2O7)4(O|F)4F4,A
KOCHKARITE,PbBi4Te7,R
KOCHSANDORITE,CaAl2(CO3)2(OH)4.1|5H2O,O
KOECHLINITE,Bi2MoO6,O
KOENENITE,Na4Mg9Al4Cl12(OH)22,R
KOGARKOITE,Na3(SO4)F,M
KOKCHETAVITE,KAlSi3O8,H
KOKINOSITE,Na2Ca2(V+++++10O28).24H2O,A
KOKSHAROVITE,CaMg2Fe+++4(VO4)6,A
KOKTAITE,(NH4)2Ca(SO4)2.H2O,M
KOLARITE,PbTeCl2,O
KOLBECKITE,ScPO4.2H2O,M
KOLFANITE,Ca2Fe+++3O2(AsO4)3.2H2O,M
KOLICITE,Mn7Zn4(AsO4)2(SiO4)2(OH)8,O
KOLITSCHITE,Pb[Zn0|5[]0|5]Fe3(AsO4)2(OH)6,M ps R
KOLOVRATITE,Hydrous,vanadate,of,Ni,and,Zn,(?)
KOLWEZITE,(Cu++|Co)2(CO3)(OH)2,A
KOLYMITE,Cu7Hg6,C
KOMAROVITE,(Ca|Sr|Na)2(Nb|Ti)6(Si4O12)(O|OH)14(F|OH)2.6-7H2O,O
KOMBATITE,Pb14(VO4)2O9Cl4,M
KOMKOVITE,BaZrSi3O9.3H2O,R
KONDERITE,PbCu3(Rh|Pt|Ir)8S16,H
KONINCKITE,Fe+++PO4.3H2O,(?),Q
KONYAITE,Na2Mg(SO4)2.5H2O,M
KORAGOITE,(Mn++|Mn+++|Fe++)3(Nb|Ta|Ti)3(Nb|Mn)2(W|Ta)2O20,M
KORITNIGITE,Zn(As+++++O3)(OH).H2O,A
KORNELITE,Fe+++2(SO4)3.7H2O,M
KORNERUPINE,Mg4(Al|Fe+++)6(Si|B)4O21(OH),O
KORNITE,(Na|K)Na2(Mg2Mn+++2Li)Si8O22(OH)2,M
KOROBITSYNITE,Na8-xTi4(Si4O12)2(O|OH)4.8H2O,O
KORSHUNOVSKITE,Mg2Cl(OH)3.3|5-4H2O,A
KORZHINSKITE,CaB2O4.H2O,M
KOSMOCHLOR,NaCr+++Si2O6,M
KOSNARITE,KZr++++2(PO4)3,R ps C
KOSTOVITE,CuAuTe4,O
KOSTYLEVITE,K2ZrSi3O9.H2O,M
KOTOITE,Mg3B2O6,O
KOTTENHEIMITE,Ca3Si(OH)6(SO4)2.12H2O,H
KOTTIGITE,Zn3(AsO4)2.8H2O,M
KOTULSKITE,Pd(Te|Bi),H
KOUTEKITE,Cu5As2,H
KOVDORSKITE,Mg2(PO4)(OH).3H2O,M
KOZOITE-(La),(La|Ce|Nd)(CO3)(OH),O
KOZOITE-(Nd),(Nd|La)(CO3)(OH),O
KOZULITE,NaNa2Mn++4(Fe+++|Al)Si8O22(OH)2,M
KRAISSLITE,(Mn++|Mg)24Zn3Fe+++(As+++O3)2(As+++++O4)3(SiO4)6(OH)18,H
KRASHENINNIKOVITE,KNa2CaMg(SO4)3F,H
KRASNOITE,Ca3Al7|7Si3P4O23|5(OH)12|1F2.8H2O,R ps H
KRASNOVITE,Ba(Al|Mg)(PO4|CO3)(OH)2.H2O,O
KRATOCHVILITE,(C6H4)2CH2,O
KRAUSITE,KFe+++(SO4)2.H2O,M
KRAUSKOPFITE,BaSi2O4(OH)2.2H2O,M
KRAUTITE,MnAs+++++O3(OH).H2O,M
KREMERSITE,(NH4|K)2Fe+++Cl5.H2O,O
KRENNERITE,Au3AgTe8,O
KRETTNICHITE,PbMn+++2(VO4)2(OH)2,M
KRIBERGITE,Al5(PO4)3(SO4)(OH)4.2H2O,(?),A
KRIESELITE,(Al|Ga)2(Ge|Al)O4(F|OH)2,O
KRINOVITE,Na2Mg4Cr2Si6O20,A
KRISTIANSENITE,Ca2ScSn(Si2O7)(Si2O6OH),A
KRIVOVICHEVITE,Pb3Al(SO4)(OH)7,R
KROHNKITE,Na2Cu(SO4)2.2H2O,M
KROTITE,CaAl2O4,M
KRUPKAITE,PbCuBi3S6,O
KRUTAITE,CuSe2,C
KRUTOVITE,NiAs2,C
KRYZHANOVSKITE,MnFe+++2(PO4)2(OH)2.H2O,O
KTENASITE,(Cu|Zn)5(SO4)2(OH)6.6H2O,M
KUANNERSUITE-(Ce),NaBa3(Ce|Nd|La)(PO4)3(F|Cl),R ps H
KUDRIAVITE,(Cd|Pb)Bi2S4,M
KUDRYAVTSEVAITE,Na3MgFe+++Ti4O12,O
KUKHARENKOITE-(Ce),Ba2Ce(CO3)3F,M
KUKHARENKOITE-(La),Ba2(La|Ce|Th)(CO3)3F,M
KUKISVUMITE,Na6ZnTi4Si8O28.4H2O,O
KUKSITE,(Pb|Ca)3Zn3Te++++++O6(PO4|VO4)2,O
KULANITE,Ba(Fe++|Mn|Mg)2Al2(PO4)3(OH)3,A
KULIOKITE-(Y),(Y|Yb|Er|Dy|Lu|Gd|Tm|Ho)4Al(SiO4)2(OH)2F5,A
KULKEITE,Na0|35Mg8Al(AlSi7)O20(OH)10,M
KULLERUDITE,NiSe2,O
KUMDYKOLITE,NaAlSi3O8,O
KUMTYUBEITE,Ca5(SiO4)2F2,M
KUNATITE,CuFe+++2(PO4)2(OH)2.4H2O,M
KUPCIKITE,Cu3|4Fe0|6Bi5S10,M
KUPLETSKITE,K2Na(Mn|Fe++)7(Ti|Nb)2Si8O26(OH)4F,A
KUPLETSKITE-(Cs),(Cs|K)2Na(Mn|Fe|Li)7(Ti|Nb)2Si8O26(OH)4F,A
KURAMITE,Cu3SnS4,Q
KURANAKHITE,PbMn++++Te++++++O6,O
KURCHATOVITE,Ca(Mg|Mn|Fe++)B2O5,O
KURILITE,Ag8Te3Se,R
KURNAKOVITE,MgB3O3(OH)5.5H2O,A
KURUMSAKITE,(Zn|Ni|Cu)8Al8V2Si5O35.27H2O,(?),O,(?)
KUSACHIITE,CuBi2O4,Q
KUSHIROITE,CaAl(AlSiO6),M
KUTINAITE,Cu14Ag6As7,C
KUTNOHORITE,Ca(Mn++|Mg|Fe++)(CO3)2,R
KUZELITE,Ca4Al2(OH)12(SO4).6H2O,R
KUZMENKOITE-Mn,K4Mn2Ti8(Si4O12)4(OH)8.nH2O,(n=10-12),M
KUZMENKOITE-Zn,K2Zn(Ti|Nb)4(Si4O12)2(OH|O)4.6-8H2O,M
KUZMINITE,Hg2(Br|Cl)2,Q
KUZNETSOVITE,Hg3Cl(AsO4),C
KVANEFJELDITE,Na4(Ca|Mn)Si6O14(OH)2,O
KYANITE,Al2SiO5,A
KYANOXALITE,Na7(Al5-6Si6-7O24)(C2O4)0|5-1.5H2O,H
KYRGYZSTANITE,(Zn|Ni)Al4(SO4)(OH)12.3H2O,M
KYZYLKUMITE,V+++2Ti2O5(OH),M
LAACHITE,(Ca|Mn)2Zr2Nb2TiFeO14,M
LABRADORITE,(?),(Ca|Na)(Si|Al)4O8,A
LABUNTSOVITE-Fe,Na4K4Fe2Ti8(Si4O12)4(O|OH)8.nH2O,(n,=10-12),M
LABUNTSOVITE-Mg,Na4K4Mg2Ti8(Si4O12)4(O|OH)8.nH2O,(n,=10-12),M
LABUNTSOVITE-Mn,Na4K4Mn2Ti8(Si4O12)4(O|OH)8.nH2O,(n,=10-12),M
LABYRINTHITE,(Na|K|Sr)35Ca12Fe3Zr6TiSi51O144(O|OH|H2O)9Cl3,R
LACROIXITE,NaAl(PO4)F,M
LAFFITTITE,AgHgAsS3,M
LAFLAMMEITE,Pd3Pb2S2,M
LAFORETITE,AgInS2,Q
LAFOSSAITE,Tl(Cl|Br),C
LAHNSTEINITE,Zn4(SO4)(OH)6.3H2O,A ps H
LAIHUNITE,Fe++Fe+++2(SiO4)2,M
LAITAKARITE,Bi4(Se|S)3,R
LAKARGIITE,Ca(Zr|Ti|Sn)O3,O ps C
LAKEBOGAITE,NaCa(Fe+++|Al)2H(UO2)2(PO4)4(OH)2.8H2O,M
LALONDEITE,(Na|Ca)6(Ca|Na)3Si16O38(F|OH)2.3H2O,A
LAMMERITE,Cu3[(As|P)O4]2,M
LAMMERITE-beta,Cu3(AsO4)2,M
LAMPROPHYLLITE,Na2(Sr|Ba)2Ti3(SiO4)4(OH|F)2,M
LANARKITE,Pb2(SO4)O,M
LANDAUITE,NaMn++Zn2(Ti|Fe+++)6Ti12O38,M ps R
LANDESITE,Fe+++Mn++2(PO4)2(OH).2H2O,O
LANGBANITE,(Mn++|Ca)4(Mn+++|Fe+++)9Sb+++++Si2O24,R
LANGBANSHYTTANITE,Pb2Mn2Mg(AsO4)2(OH)4.6H2O,A
LANGBEINITE,K2Mg2(SO4)3,C
LANGISITE,(Co|Ni)As,H
LANGITE,Cu4(SO4)(OH)6.2H2O,M
LANMUCHANGITE,TlAl(SO4)2.12H2O,C
LANNONITE,HCa4Mg2Al4(SO4)8F9.32H2O,Q
LANSFORDITE,MgCO3.5H2O,M
LANTHANITE-(Ce),(Ce|La)2(CO3)3.8H2O,O
LANTHANITE-(La),(La|Ce)2(CO3)3.8H2O,O
LANTHANITE-(Nd),(Nd|La)2(CO3)3.8H2O,O
LAPEYREITE,Cu3O[AsO3(OH)]2.0|75H2O,O
LAPHAMITE,As2(Se|S)3,M
LAPIEITE,CuNiSbS3,O
LAPLANDITE-(Ce),Na4CeTiPSi7O22.5H2O,O
LAPTEVITE-(Ce),Ca6(Fe++|Mn++)Y3REE7(SiO4)3(PO4)(B3Si3O18)(BO3)F11,H
LARDERELLITE,(NH4)B5O6(OH)4,M
LARISAITE,(H3O)(Na|K)(UO2)3O2(SeO3)2.4H2O,M
LARNITE,Ca2SiO4,M
LAROSITE,(Cu|Ag)21(Pb|Bi)2S13,O
LARSENITE,PbZnSiO4,O
LASALITE,Na2Mg2(V10O28).20H2O,M
LATIUMITE,(Ca|K)8(Al|Mg|Fe)(Si|Al)10O25(SO4),M
LATRAPPITE,Ca2NbFe+++O6,O
